Campaign,Campaign type,Budget,Budget type,Bid strategy type,Networks,Status,EU political ads
SRCH | Composite | 3 Counties | Calls,Search,90,Daily,Maximize conversions,Google Search,Paused,No
SRCH | Deck Builders | 3 Counties | Calls,Search,45,Daily,Maximize conversions,Google Search,Paused,No
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Search,45,Daily,Maximize conversions,Google Search,Paused,No
SRCH | Branded | 3 Counties | Calls,Search,15,Daily,Maximize conversions,Google Search,Paused,No
SRCH | Premium Geo | Arlington Alexandria McLean | Leads,Search,30,Daily,Maximize conversions,Google Search,Paused,No
RMKT | PMax | Visitors 30/60/90d | Calls,Performance Max,10,Daily,Maximize conversions,All,Paused,No
