Campaign,Ad group,Status,Ad group type
SRCH | Composite | 3 Counties | Calls,Trex,Paused,Standard
SRCH | Composite | 3 Counties | Calls,TimberTech/AZEK,Paused,Standard
SRCH | Composite | 3 Counties | Calls,Composite Deck Builder,Paused,Standard
SRCH | Composite | 3 Counties | Calls,Composite Deck Cost,Paused,Standard
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Replacement,Paused,Standard
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Deck Resurfacing,Paused,Standard
SRCH | Replacement + Resurfacing | 3 Counties | Calls,Replace Wood With Composite,Paused,Standard
SRCH | Branded | 3 Counties | Calls,Brand Exact,Paused,Standard
SRCH | Branded | 3 Counties | Calls,Brand Phrase,Paused,Standard
